record_id,latitude,longitude,catch_kg,species,season,year,sst_celsius,chlorophyll_mg_m3,is_pfz
F001,8.5,78.2,450,Tuna,Summer,2022,28.5,1.2,1
F002,9.0,78.8,320,Sardine,Monsoon,2022,27.0,2.1,1
F003,9.5,79.2,180,Mackerel,Winter,2022,26.5,1.8,1
F004,10.0,79.8,600,Prawn,Summer,2023,29.0,1.5,1
F005,11.0,80.0,250,Tuna,Winter,2023,27.5,1.1,1
F006,12.5,80.2,400,Sardine,Summer,2022,28.0,1.9,1
F007,14.0,80.5,350,Mackerel,Monsoon,2022,27.8,2.3,1
F008,16.0,81.0,500,Prawn,Winter,2023,26.0,1.7,1
F009,18.5,72.8,420,Tuna,Summer,2022,29.5,1.3,1
F010,20.0,72.5,380,Sardine,Winter,2022,27.0,1.6,1
F011,9.2,72.2,290,Tuna,Summer,2023,30.0,0.8,1
F012,10.5,73.0,310,Mackerel,Monsoon,2023,28.5,1.4,1
F013,11.5,75.8,220,Sardine,Winter,2022,26.8,2.0,1
F014,8.8,93.5,480,Tuna,Summer,2023,29.2,1.1,1
F015,21.5,88.5,100,Hilsa,Monsoon,2022,28.0,3.5,0
F016,20.5,86.0,200,Sardine,Summer,2023,30.5,0.5,0
F017,22.0,70.5,150,Prawn,Winter,2022,24.0,0.4,0
F018,8.6,76.5,90,Mixed,Monsoon,2022,26.5,0.6,0
F019,19.5,85.0,120,Sardine,Summer,2022,31.0,0.3,0
F020,9.8,80.3,80,Mackerel,Winter,2023,25.0,0.7,0
F021,8.2,78.5,530,Tuna,Summer,2023,28.8,1.6,1
F022,9.3,79.5,410,Sardine,Monsoon,2023,27.2,2.2,1
F023,10.8,80.1,460,Prawn,Winter,2023,26.2,1.9,1
F024,13.0,80.3,370,Mackerel,Summer,2022,28.3,1.4,1
F025,15.5,80.8,290,Tuna,Winter,2022,27.1,1.3,1
F026,17.5,73.0,440,Sardine,Summer,2023,29.1,1.8,1
F027,19.0,72.7,380,Prawn,Monsoon,2022,28.7,1.5,1
F028,11.0,72.9,320,Tuna,Winter,2022,27.4,1.2,1
F029,12.0,93.8,490,Tuna,Summer,2022,29.4,1.0,1
F030,20.8,88.2,110,Hilsa,Monsoon,2023,28.1,3.2,0
