obs_id,latitude,longitude,sst_celsius,chlorophyll_mg_m3,wind_speed_ms,salinity_ppt,current_speed_ms,month
M001,8.0,78.0,28.0,1.5,4.2,35.0,0.3,1
M002,8.5,78.5,29.5,1.8,3.8,34.8,0.4,2
M003,9.0,79.0,30.2,2.1,5.1,34.5,0.5,3
M004,9.5,79.5,29.8,1.9,6.3,34.9,0.4,4
M005,10.0,80.0,28.5,1.2,7.5,35.1,0.3,5
M006,10.5,80.0,27.0,1.0,8.2,35.3,0.3,6
M007,11.0,80.2,26.5,0.9,9.0,35.5,0.2,7
M008,11.5,80.3,27.2,1.1,8.5,35.2,0.3,8
M009,12.0,80.2,28.8,1.6,6.0,35.0,0.4,9
M010,12.5,80.3,29.5,1.9,4.5,34.8,0.5,10
M011,13.0,80.4,29.8,2.0,3.5,34.7,0.5,11
M012,13.5,80.5,28.5,1.7,4.0,35.0,0.4,12
M013,14.0,80.5,27.5,1.3,5.5,35.2,0.3,1
M014,14.5,80.6,28.0,1.5,5.0,35.1,0.4,2
M015,15.0,80.7,29.0,1.8,4.8,34.9,0.4,3
M016,15.5,80.8,30.0,2.2,5.2,34.6,0.5,4
M017,16.0,81.0,29.5,2.0,6.0,34.8,0.4,5
M018,16.5,80.8,28.0,1.4,7.0,35.0,0.3,6
M019,17.0,73.0,27.5,1.1,8.5,35.4,0.3,7
M020,17.5,73.0,28.5,1.5,7.2,35.1,0.4,8
M021,18.0,72.8,29.8,1.9,5.5,34.8,0.5,9
M022,18.5,72.8,30.2,2.1,4.2,34.6,0.5,10
M023,19.0,72.7,29.5,1.8,3.8,34.9,0.4,11
M024,19.5,72.5,28.0,1.3,4.5,35.2,0.3,12
M025,20.0,72.5,27.0,1.0,5.8,35.5,0.3,1
M026,20.5,72.0,28.5,1.6,4.2,34.8,0.4,2
M027,21.0,88.5,28.0,3.5,6.5,30.5,0.2,3
M028,21.5,88.5,28.5,3.8,5.8,28.0,0.2,4
M029,9.0,72.5,30.5,1.2,3.5,35.8,0.4,5
M030,10.0,73.0,29.8,1.4,4.0,35.6,0.4,6
M031,11.0,73.2,29.2,1.3,4.8,35.5,0.3,7
M032,8.5,93.5,29.5,1.1,5.2,34.5,0.5,8
M033,11.0,93.8,30.0,1.0,4.5,34.4,0.5,9
M034,12.0,94.0,29.8,0.9,5.0,34.6,0.4,10
M035,20.0,86.0,31.2,0.4,3.0,33.5,0.2,11
M036,22.0,70.5,25.5,0.3,6.0,37.5,0.1,12
M037,8.5,76.5,27.8,0.5,9.5,12.0,0.2,1
M038,19.0,85.0,32.0,0.2,3.5,34.0,0.1,2
